date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:27	390178/390178	---M-Z	200	added ('OK')	text/html	etag:%228af9a30a51d5cf6e4709ec2d2ce6d6d0%22	https://www.squareslabs.ai/	C:/My%20Web%20Sites/AI%20Website%20template/www.squareslabs.ai/index.html	(from )
18:33:27	91/91	---M-Z	200	added ('OK')	text/plain	etag:%227989f15e1f201014f6b5cd01be9951b6%22	https://www.squareslabs.ai/robots.txt		(from )
18:33:27	2755/2755	---MC-	200	added ('OK')	image/png	etag:%2274cb550d7c8653a55ae42776a39e3e4a%22	https://framerusercontent.com/images/jV8urQuSB1p3m9LJTnprIKsiZg.png	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/jV8urQuSB1p3m9LJTnprIKsiZg.png	(from https://www.squareslabs.ai/)
18:33:28	495/495	---MC-	200	added ('OK')	image/png	etag:%22df221b22cb0c96a6a9c9324a33c62123%22	https://framerusercontent.com/images/J9PD0z8SzMHT2KxXQClbD5Q7PU.png	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/J9PD0z8SzMHT2KxXQClbD5Q7PU.png	(from https://www.squareslabs.ai/)
18:33:28	280250/280250	---M--	200	added ('OK')	image/png	etag:%22318133b64bba6b4b7af30db6c950ce81%22	https://framerusercontent.com/assets/RVvmNKmWoKftew1x9728aCZt64.png	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/assets/RVvmNKmWoKftew1x9728aCZt64.png	(from https://www.squareslabs.ai/)
18:33:28	199445/199445	---MC-	200	added ('OK')	image/png	etag:%222e49d8af05b025839be9bee955965305%22	https://framerusercontent.com/images/vB2MtWwZpfQllMWCRyLNFppKWyw.png?scale-down-to=2048	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/vB2MtWwZpfQllMWCRyLNFppKWyw9ae5.png	(from https://www.squareslabs.ai/)
18:33:28	3562/3562	---MC-	200	added ('OK')	image/png	etag:%22a9beeefed7a5b185bc4260d94582d65a%22	https://framerusercontent.com/images/5AXsK3MyGYovv57LsfY0T3kRQU.png	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/5AXsK3MyGYovv57LsfY0T3kRQU.png	(from https://www.squareslabs.ai/)
18:33:29	359134/359134	---MC-	200	added ('OK')	image/png	etag:%223dbf4713e99ba5a1485d502c1f0284f3%22	https://framerusercontent.com/images/PsdD2WkpgPHYH9kOwODxDkUF8Dk.png?scale-down-to=2048	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/PsdD2WkpgPHYH9kOwODxDkUF8Dk9ae5.png	(from https://www.squareslabs.ai/)
18:33:29	333067/333067	---MC-	200	added ('OK')	image/png	etag:%228d1b8eee12fbba7eb1e528e7fad35347%22	https://framerusercontent.com/images/0PCqyGNj3uOAkRkTtYcMgwGBQ.png?scale-down-to=2048	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/0PCqyGNj3uOAkRkTtYcMgwGBQ9ae5.png	(from https://www.squareslabs.ai/)
18:33:29	466329/466329	---MC-	200	added ('OK')	image/png	etag:%227961b8846eb5dc6ce0c43906e3676da2%22	https://framerusercontent.com/images/m1usjukqfIZSGXCfKD90SzRXAPY.png?scale-down-to=2048	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/m1usjukqfIZSGXCfKD90SzRXAPY9ae5.png	(from https://www.squareslabs.ai/)
18:33:29	495729/495729	---MC-	200	added ('OK')	image/png	etag:%22b66b7909fe22e23f93f01e787ac8f9a9%22	https://framerusercontent.com/images/Exl69pJ0yOjW9aQkNXdLUdY.png?scale-down-to=2048	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/Exl69pJ0yOjW9aQkNXdLUdY9ae5.png	(from https://www.squareslabs.ai/)
18:33:29	376327/376327	---MC-	200	added ('OK')	image/png	etag:%22efd9893c3c4bdf8e3f0fe90649bc46bb%22	https://framerusercontent.com/images/0XJIlgRpHsCi7Zez0ItXpq5dEj8.png?scale-down-to=2048	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/0XJIlgRpHsCi7Zez0ItXpq5dEj89ae5.png	(from https://www.squareslabs.ai/)
18:33:31	122889/122889	---MC-	200	added ('OK')	image/png	etag:%22ec9f52f05f3f376d8753011ec083e630%22	https://framerusercontent.com/images/frENbWLEaPkuNUJYH5ljTooz0.png	C:/My%20Web%20Sites/AI%20Website%20template/framerusercontent.com/images/frENbWLEaPkuNUJYH5ljTooz0.png	(from https://www.squareslabs.ai/)
